id,date,day,togo,dine_in,tax,gross_sale,gratuity,coupon_subtract,net_sale,tip_cr,tip_cash,before_earned,sc_merch,sc_owner,credt_total,deposited,cash,daily_earned,weekly_earned,lunch,day_1,date_1,unnamed_column_ 22,unnamed_column_ 23,unnamed_column_ 24,unnamed_column_ 25,unnamed_column_ 26,unnamed_column_ 27,unnamed_column_ 28,unnamed_column_ 29,unnamed_column_ 30
daily_2022_02_01,2022-02-01,TUE,157.5,390.75,26.38,574.63,0.0,0.0,574.63,42.0,24.0,640.63,14.95,1.410000000000025,468.73,467.32,171.9,639.22,0.0,0.0,TUE,0.0,0.0,0.0,467.32,0.0,0.0,0.0,0.0,0.0,0.0
daily_2022_02_02,2022-02-02,WED,239.25,370.4,25.0,634.65,27.0,0.0,661.65,46.4,15.0,723.05,17.22,1.580000000000041,538.47,536.89,184.58,721.47,0.0,0.0,WED,0.0,0.0,0.0,536.89,0.0,0.0,0.0,0.0,0.0,0.0
daily_2022_02_03,2022-02-03,THU,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,THU,0.0,0.0,0.0,943.5,0.0,0.0,0.0,0.0,0.0,0.0
daily_2022_02_04,2022-02-04,FRI,396.25,562.55,37.98,996.78,23.26,0.0,1020.04,86.43,44.0,1150.47,30.13,2.8999999999999773,946.4,943.5,204.07,1147.57,0.0,0.0,FRI,0.0,0.0,0.0,1622.18,0.0,0.0,0.0,0.0,0.0,0.0
daily_2022_02_05,2022-02-05,SAT,319.75,2179.15,147.11,2646.01,22.79,0.0,2668.8,165.51,244.0,3078.3100000000004,57.94,5.589999999999918,1820.99,1815.4,1257.32,3072.7200000000003,0.0,0.0,SAT,0.0,0.0,0.0,1815.4,0.0,0.0,0.0,0.0,0.0,0.0
daily_2022_02_06,2022-02-06,SUN,401.25,1211.5,81.78,1694.53,81.99,0.0,1776.52,119.9,75.0,1971.42,52.74,4.039999999999964,1626.22,1622.18,345.2,1967.38,7548.360000000001,0.0,SUN,0.0,0.0,0.0,713.57,0.0,0.0,0.0,0.0,0.0,0.0
daily_2022_02_07,2022-02-07,MON,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,MON,0.0,0.0,0.0,437.52,0.0,0.0,0.0,0.0,0.0,0.0
daily_2022_02_08,2022-02-08,TUE,160.5,840.0,56.69,1057.19,28.43,0.0,1085.6200000000001,45.0,103.0,1233.6200000000001,23.46,1.5199999999999818,715.09,713.57,103.0,816.57,0.0,0.0,TUE,0.0,0.0,0.0,1035.38,0.0,0.0,0.0,0.0,0.0,0.0
daily_2022_02_09,2022-02-09,WED,266.46,986.45,66.6,1319.51,58.7,-20.0,1358.21,27.0,99.0,1484.21,14.4,0.9200000000000159,438.44,437.52,1045.77,1483.29,0.0,0.0,WED,0.0,0.0,0.0,1169.33,0.0,0.0,0.0,0.0,0.0,0.0
daily_2022_02_10,2022-02-10,THU,473.65,746.7,50.41,1270.76,46.04,-10.0,1306.8,34.0,77.0,1417.8,35.09,1.1399999999998727,1036.52,1035.38,381.28,1416.66,0.0,0.0,THU,0.0,0.0,0.0,3944.89,0.0,0.0,0.0,0.0,0.0,0.0
