category,category_type,name,description,base_price,glass_price,bottle_price,lunch_price,dinner_price,preparation_time,is_available,is_featured
Red Wine,red_wine,Shiraz 10.00,,30.0,30.0,,,,0,True,False
Red Wine,red_wine,Merlot 11.00,,35.0,35.0,,,,0,True,False
Red Wine,red_wine,Cabernet Sauvignon 11.00,,35.0,35.0,,,,0,True,False
Red Wine,red_wine,Pinot Noir 11.00,,35.0,35.0,,,,0,True,False
Red Wine,red_wine,Zinfandel 10.00,,30.0,30.0,,,,0,True,False
White Wine,white_wine,Sauvignon Blanc 11.00,,35.0,35.0,,,,0,True,False
White Wine,white_wine,Chardonnay 11.00,,38.0,38.0,,,,0,True,False
White Wine,white_wine,Riesling 11.00,,35.0,35.0,,,,0,True,False
White Wine,white_wine,Pinot Grigio 11.00,,35.0,35.0,,,,0,True,False
Blush Wine,blush_wine,White Merlot 10.00,,30.0,30.0,,,,0,True,False
Blush Wine,blush_wine,White Zinfandel 10.00,,30.0,30.0,,,,0,True,False
Blush Wine,blush_wine,Rose 10.00,,30.0,30.0,,,,0,True,False
Plum Wine,plum_wine,Kinsen 12.00,,40.0,40.0,,,,0,True,False
Plum Wine,plum_wine,Hakatsuro 12.00,,40.0,40.0,,,,0,True,False
Domestic Beer,domestic_beer,Small,,6.0,6.0,,,,0,True,False
Domestic Beer,domestic_beer,Large,,12.0,12.0,,,,0,True,False
Domestic Beer,domestic_beer,Small,,5.75,5.75,,,,0,True,False
Domestic Beer,domestic_beer,Large Hot,,13.0,13.0,,,,0,True,False
Domestic Beer,domestic_beer,Small Hot,,10.0,10.0,,,,0,True,False
Sake,sake,(Free Refills) ………….,,3.15,3.15,,,,0,True,False
Sake,sake,Lemonade …………….,,5.0,5.0,,,,0,True,False
Sake,sake,Cranberry Juice …….,,5.5,5.5,,,,0,True,False
Tempura Appetizer,tempura_appetizer,"increase your risk of foodborne illness, especially if you have certain medical conditions. Vegetable Roll",,8.5,,,,,15,True,True
Tempura Appetizer,tempura_appetizer,Avocado Roll,,8.5,,,,,15,True,False
Tempura Appetizer,tempura_appetizer,Cucumber Roll,,8.5,,,,,15,True,False
Tempura Appetizer,tempura_appetizer,California Roll,,9.75,,,,,15,True,False
Tempura Appetizer,tempura_appetizer,Crunchy Roll,,10.75,,,,,15,True,False
Tempura Appetizer,tempura_appetizer,Shrimp Tempura Roll,,14.5,,,,,15,True,False
Tempura Appetizer,tempura_appetizer,Eel Roll,,11.5,,,,,15,True,False
Tempura Appetizer,tempura_appetizer,*Salmon Roll,,11.5,,,,,15,True,False
Tempura Appetizer,tempura_appetizer,*Philadelphia Roll,,11.75,,,,,15,True,False
Tempura Appetizer,tempura_appetizer,Calamari Roll,,11.75,,,,,15,True,False
Tempura Appetizer,tempura_appetizer,*Spicy Tuna Roll,,11.5,,,,,15,True,False
Tempura Appetizer,tempura_appetizer,Eel Nigiri (2 pieces),,10.5,,,,,15,True,False
Tempura Appetizer,tempura_appetizer,Shrimp Tempura,,16.5,,,,,12,True,False
Tempura Appetizer,tempura_appetizer,Calamari Tempura,,16.0,,,,,12,True,False
