id,date,year,month,month_name,original_month_string,togo,dine_in,tax,gross_sale,gratuity,coupon_subtract,net_sale,tip_cr,tip_cash,before_earned,sc_merch,sc_owner,credt_total,deposited,cash,daily_earned,weekly_earned,no_of_days_closed,month_1,no_of_days_month,unnamed_column_ 21,unnamed_column_ 22,average_daily,quarterly_total_daily_earned
monthly_2021_01,2021-01-01,2021,1,JAN,JAN 2021,14100.47,16141.5,1089.79,31331.760000000002,710.8,-25.0,32017.56,1899.67,1131.0,35048.23,842.1,83.49,26237.5,26154.01,8890.73,35044.74,40510.76,3,0.0,31,0.0,28.0,1251.597857142857,0.0
monthly_2021_02,2021-02-01,2021,2,FEB,FEB 2021,10527.33,22970.44,1546.83,35044.6,1468.88,-321.5,36191.979999999996,2200.56,1554.0,39946.53999999999,969.26,73.77,29888.94,29815.17,9475.08,39290.25,39290.25,3,0.0,28,0.0,25.0,1571.61,0.0
monthly_2021_03,2021-03-01,2021,3,MAR,MAR 2021,13330.7,26097.43,1746.6,41174.73,1432.39,-253.4,42353.72,2839.04,1457.0,46649.76,1158.46,95.78,35926.41,35830.63,10998.06,46828.689999999995,46828.69,5,0.0,31,0.0,26.0,1801.1034615384613,121163.68
monthly_2021_04,2021-04-01,2021,4,APR,APR 2021,12089.48,22069.89,1473.52,35632.88999999999,1170.34,-312.0,36491.22999999999,2481.54,1449.0,40421.76999999999,971.24,47.75,30220.17,30172.42,10201.46,40373.88,42859.89,5,0.0,30,0.0,25.0,1614.9551999999999,0.0
monthly_2021_05,2021-05-01,2021,5,MAY,MAY 2021,10337.87,26155.36,1777.87,38271.100000000006,1853.5,-481.44,39643.16,2657.1,1432.74,43733.0,1074.96,122.4,33362.45,33240.05,10148.35,43388.4,48054.16,8,0.0,31,0.0,23.0,1886.4521739130435,0.0
monthly_2021_06,2021-06-01,2021,6,JUN,JUN 2021,10836.15,27051.52,1827.43,39715.1,1186.3,-110.0,40791.4,3458.08,1798.0,46047.48,1110.14,116.49,35173.11,35056.62,10730.87,45787.490000000005,41578.25,6,0.0,30,0.0,24.0,1907.8120833333335,129549.77
monthly_2021_07,2021-07-01,2021,7,JUL,JUL 2021,9522.74,22942.53,1552.59,34017.85999999999,920.84,-289.31,34649.38999999999,2733.91,1621.0,39004.29999999999,911.17,83.64,28831.39,28747.75,10172.91,38920.66,43129.9,9,0.0,31,0.0,22.0,1769.1209090909092,0.0
monthly_2021_08,2021-08-01,2021,8,AUG,AUG 2021,10663.47,23001.78,1548.23,35213.48,900.33,-55.4,36058.41,2509.17,1598.0,40165.58,982.05,54.91,30534.42,30479.51,9484.59,39964.1,46127.94,6,0.0,31,0.0,25.0,1598.5639999999999,0.0
monthly_2021_09,2021-09-01,2021,9,SEP,SEP 2021,9736.63,22345.74,1511.27,33593.64,1087.51,-19.0,34662.15,2419.83,1460.0,38541.98,953.62,81.73,29659.07,29577.34,8266.54,37843.880000000005,34696.55,7,0.0,30,0.0,23.0,1645.386086956522,116728.64000000001
monthly_2021_10,2021-10-01,2021,10,OCT,OCT 2021,11466.77,23685.62,1597.0,36749.39,836.28,0.0,37585.67,2640.0,2127.35,42353.02,1018.66,101.7,31797.21,31695.51,10419.34,42114.85,42340.16,5,0.0,31,0.0,26.0,1619.801923076923,0.0
