id,date,sheet_name,row_index,transaction,to_go,dine_in,unnamed_column_ 4,unnamed_column_ 5,coupon,gross,unnamed_column_ 8,total,service,receipt,unnamed_column_ 12,unnamed_column_ 13,unnamed_column_ 14,unnamed_column_ 15,unnamed_column_ 16,unnamed_column_ 17,unnamed_column_ 18
txn_2022_02_01_001,2022-02-01,2-1,1,1,15.5,0.0,0.0,0.0,0.0,15.5,0.0,15.5,0.54,16.04,,,,,,,
txn_2022_02_01_002,2022-02-01,2-1,2,2,0.0,34.445,2.33,0.0,0.0,36.775,10.0,46.775,1.29,48.065,,,,,,,
txn_2022_02_01_003,2022-02-01,2-1,3,3,0.0,16.0,1.08,0.0,0.0,17.08,5.0,22.08,0.6,22.68,,,,,,,
txn_2022_02_01_004,2022-02-01,2-1,4,4,0.0,18.95,1.28,0.0,0.0,20.23,5.0,25.23,0.71,25.94,,,,,,,
txn_2022_02_01_005,2022-02-01,2-1,5,5,9.0,0.0,0.0,0.0,0.0,9.0,1.0,10.0,0.32,10.32,,,,,,,
txn_2022_02_01_006,2022-02-01,2-1,6,6,0.0,100.45,6.78,0.0,0.0,107.23,5.0,112.23,3.75,115.98,,,,,,,
txn_2022_02_01_007,2022-02-01,2-1,7,7,36.5,0.0,0.0,0.0,0.0,36.5,3.0,39.5,1.28,40.78,,,,,,,
txn_2022_02_01_008,2022-02-01,2-1,8,8,49.75,0.0,0.0,0.0,0.0,49.75,0.0,49.75,1.74,51.49,,,,,,,
txn_2022_02_01_009,2022-02-01,2-1,9,9,16.75,0.0,0.0,0.0,0.0,16.75,0.0,16.75,0.59,17.34,,,,,,,
txn_2022_02_01_010,2022-02-01,2-1,10,10,0.0,56.45,3.81,0.0,0.0,60.260000000000005,10.0,70.26,2.11,72.37,,,,,,,
txn_2022_02_01_011,2022-02-01,2-1,11,11,0.0,54.0,3.65,0.0,0.0,57.65,3.0,60.65,2.02,62.67,,,,,,,
txn_2022_02_02_012,2022-02-02,2-2,1,1,15.5,0.0,0.0,0.0,0.0,15.5,0.0,15.5,0.54,16.04,,,,,,,
txn_2022_02_02_013,2022-02-02,2-2,2,2,0.0,19.0,1.28,0.0,0.0,20.28,5.0,25.28,0.71,25.990000000000002,,,,,,,
txn_2022_02_02_014,2022-02-02,2-2,3,3,0.0,23.5,1.59,0.0,0.0,25.09,9.0,34.09,0.88,34.970000000000006,,,,,,,
txn_2022_02_02_015,2022-02-02,2-2,4,4,37.5,0.0,0.0,0.0,0.0,37.5,8.0,45.5,1.31,46.81,,,,,,,
txn_2022_02_02_016,2022-02-02,2-2,5,5,67.5,0.0,0.0,0.0,0.0,67.5,0.0,67.5,2.36,69.86,,,,,,,
txn_2022_02_02_017,2022-02-02,2-2,6,6,26.5,0.0,0.0,0.0,0.0,26.5,0.0,26.5,0.93,27.43,,,,,,,
txn_2022_02_02_018,2022-02-02,2-2,7,7,0.0,135.0,9.11,27.0,0.0,171.11,0.0,171.11,5.99,177.10000000000002,,,,,,,
txn_2022_02_02_019,2022-02-02,2-2,8,8,0.0,90.95,6.14,0.0,0.0,97.09,20.0,117.09,3.4,120.49000000000001,,,,,,,
txn_2022_02_02_020,2022-02-02,2-2,9,9,31.5,0.0,0.0,0.0,0.0,31.5,4.4,35.9,1.1,37.0,,,,,,,
txn_2022_02_04_021,2022-02-04,2-4,1,1,39.0,0.0,0.0,0.0,0.0,39.0,0.0,39.0,1.37,40.37,,,,,,,
txn_2022_02_04_022,2022-02-04,2-4,2,2,0.0,24.5,1.65,0.0,0.0,26.15,5.0,31.15,0.92,32.07,,,,,,,
txn_2022_02_04_023,2022-02-04,2-4,3,3,0.0,18.0,1.22,0.0,0.0,19.22,5.11,24.33,0.67,25.0,,,,,,,
txn_2022_02_04_024,2022-02-04,2-4,4,4,0.0,16.0,1.08,0.0,0.0,17.08,10.32,27.4,0.6,28.0,,,,,,,
txn_2022_02_04_025,2022-02-04,2-4,5,5,0.0,18.95,1.28,0.0,0.0,20.23,0.0,20.23,0.71,20.94,,,,,,,
txn_2022_02_04_026,2022-02-04,2-4,6,6,0.0,18.95,1.28,0.0,0.0,20.23,5.0,25.23,0.71,25.94,,,,,,,
txn_2022_02_04_027,2022-02-04,2-4,7,7,0.0,18.95,1.28,0.0,0.0,20.23,8.0,28.23,0.71,28.94,,,,,,,
txn_2022_02_04_028,2022-02-04,2-4,8,8,20.0,0.0,0.0,0.0,0.0,20.0,0.0,20.0,0.7,20.7,,,,,,,
txn_2022_02_04_029,2022-02-04,2-4,9,9,0.0,53.0,3.58,0.0,0.0,56.58,8.0,64.58,1.98,66.56,,,,,,,
txn_2022_02_04_030,2022-02-04,2-4,10,10,60.5,0.0,0.0,0.0,0.0,60.5,1.0,61.5,2.12,63.62,,,,,,,
txn_2022_02_04_031,2022-02-04,2-4,11,11,0.0,121.5,8.2,0.0,0.0,129.7,30.0,159.7,4.54,164.23999999999998,,,,,,,
txn_2022_02_04_032,2022-02-04,2-4,12,12,24.0,0.0,0.0,0.0,0.0,24.0,4.0,28.0,0.84,28.84,,,,,,,
txn_2022_02_04_033,2022-02-04,2-4,13,13,0.0,87.95,5.94,0.0,0.0,93.89,0.0,93.89,3.29,97.18,,,,,,,
txn_2022_02_04_034,2022-02-04,2-4,14,14,121.0,0.0,0.0,0.0,0.0,121.0,10.0,131.0,4.24,135.24,,,,,,,
txn_2022_02_04_035,2022-02-04,2-4,15,15,14.0,0.0,0.0,0.0,0.0,14.0,0.0,14.0,0.49,14.49,,,,,,,
txn_2022_02_04_036,2022-02-04,2-4,16,16,30.75,0.0,0.0,0.0,0.0,30.75,0.0,30.75,1.08,31.83,,,,,,,
txn_2022_02_04_037,2022-02-04,2-4,17,17,0.0,116.3,7.85,23.26,0.0,147.41,0.0,147.41,5.16,152.57,,,,,,,
txn_2022_02_05_038,2022-02-05,2-5,1,1,0.0,43.95,2.97,0.0,0.0,46.92,0.0,46.92,1.64,48.56,,,,,,,
txn_2022_02_05_039,2022-02-05,2-5,2,2,0.0,52.45,3.54,0.0,0.0,55.99,20.0,75.99000000000001,1.96,77.95,,,,,,,
txn_2022_02_05_040,2022-02-05,2-5,3,3,0.0,71.4,4.82,0.0,0.0,76.22,0.0,76.22,2.67,78.89,,,,,,,
txn_2022_02_05_041,2022-02-05,2-5,4,4,0.0,122.15,8.25,0.0,0.0,130.4,0.0,130.4,4.56,134.96,,,,,,,
txn_2022_02_05_042,2022-02-05,2-5,5,5,103.5,0.0,0.0,0.0,0.0,103.5,0.0,103.5,3.62,107.12,,,,,,,
txn_2022_02_05_043,2022-02-05,2-5,6,6,35.75,0.0,0.0,0.0,0.0,35.75,3.0,38.75,1.25,40.0,,,,,,,
txn_2022_02_05_044,2022-02-05,2-5,7,7,0.0,75.4,5.09,0.0,0.0,80.49000000000001,12.0,92.49000000000001,2.82,95.31,,,,,,,
txn_2022_02_05_045,2022-02-05,2-5,8,8,0.0,94.4,6.37,0.0,0.0,100.77000000000001,20.0,120.77000000000001,3.53,124.30000000000001,,,,,,,
txn_2022_02_05_046,2022-02-05,2-5,9,9,0.0,73.75,4.98,0.0,0.0,78.73,8.51,87.24000000000001,2.76,90.00000000000001,,,,,,,
txn_2022_02_05_047,2022-02-05,2-5,10,10,0.0,166.85,11.26,0.0,0.0,178.10999999999999,0.0,178.10999999999999,6.23,184.33999999999997,,,,,,,
txn_2022_02_05_048,2022-02-05,2-5,11,11,0.0,142.65,9.63,0.0,0.0,152.28,10.0,162.28,5.33,167.61,,,,,,,
txn_2022_02_05_049,2022-02-05,2-5,12,12,0.0,153.2,10.34,0.0,0.0,163.54,25.0,188.54,5.72,194.26,,,,,,,
txn_2022_02_05_050,2022-02-05,2-5,13,13,0.0,113.95,7.69,22.79,0.0,144.43,5.0,149.43,5.06,154.49,,,,,,,
txn_2022_02_05_051,2022-02-05,2-5,14,14,0.0,70.9,4.79,0.0,0.0,75.69000000000001,15.0,90.69000000000001,2.65,93.34000000000002,,,,,,,
txn_2022_02_05_052,2022-02-05,2-5,15,15,0.0,88.0,5.94,0.0,0.0,93.94,20.0,113.94,3.29,117.23,,,,,,,
txn_2022_02_05_053,2022-02-05,2-5,16,16,0.0,70.25,4.74,0.0,0.0,74.99,15.0,89.99,2.62,92.61,,,,,,,
txn_2022_02_05_054,2022-02-05,2-5,17,17,0.0,59.7,4.03,0.0,0.0,63.730000000000004,12.0,75.73,2.23,77.96000000000001,,,,,,,
txn_2022_02_06_055,2022-02-06,2-6,1,1,80.5,0.0,0.0,0.0,0.0,80.5,10.0,90.5,2.82,93.32,,,,,,,
txn_2022_02_06_056,2022-02-06,2-6,2,2,0.0,34.0,2.3,0.0,0.0,36.3,0.0,36.3,1.27,37.57,,,,,,,
txn_2022_02_06_057,2022-02-06,2-6,3,3,27.25,0.0,0.0,0.0,0.0,27.25,0.0,27.25,0.95,28.2,,,,,,,
txn_2022_02_06_058,2022-02-06,2-6,4,4,0.0,104.95,7.08,20.99,0.0,133.02,0.0,133.02,4.66,137.68,,,,,,,
txn_2022_02_06_059,2022-02-06,2-6,5,5,0.0,47.0,3.17,0.0,0.0,50.17,7.5,57.67,1.76,59.43,,,,,,,
txn_2022_02_06_060,2022-02-06,2-6,6,6,22.0,0.0,0.0,0.0,0.0,22.0,0.0,22.0,0.77,22.77,,,,,,,
txn_2022_02_06_061,2022-02-06,2-6,7,7,0.0,72.85,4.92,0.0,0.0,77.77,10.0,87.77,2.72,90.49,,,,,,,
txn_2022_02_06_062,2022-02-06,2-6,8,8,11.0,0.0,0.0,0.0,0.0,11.0,0.0,11.0,0.39,11.39,,,,,,,
txn_2022_02_06_063,2022-02-06,2-6,9,9,35.0,0.0,0.0,0.0,0.0,35.0,0.0,35.0,1.23,36.23,,,,,,,
txn_2022_02_06_064,2022-02-06,2-6,10,10,0.0,103.0,6.95,0.0,0.0,109.95,25.0,134.95,3.85,138.79999999999998,,,,,,,
txn_2022_02_06_065,2022-02-06,2-6,11,11,0.0,47.95,3.24,0.0,0.0,51.190000000000005,10.0,61.190000000000005,1.79,62.980000000000004,,,,,,,
txn_2022_02_06_066,2022-02-06,2-6,12,12,59.5,0.0,0.0,0.0,0.0,59.5,0.0,59.5,2.08,61.58,,,,,,,
txn_2022_02_06_067,2022-02-06,2-6,13,13,0.0,63.9,4.31,0.0,0.0,68.21,14.4,82.61,2.39,85.0,,,,,,,
txn_2022_02_06_068,2022-02-06,2-6,14,14,9.0,0.0,0.0,0.0,0.0,9.0,1.0,10.0,0.32,10.32,,,,,,,
txn_2022_02_06_069,2022-02-06,2-6,15,15,0.0,147.85,9.98,29.57,0.0,187.39999999999998,0.0,187.39999999999998,6.56,193.95999999999998,,,,,,,
txn_2022_02_06_070,2022-02-06,2-6,16,16,0.0,157.15,10.61,31.43,0.0,199.19,30.0,229.19,6.97,236.16,,,,,,,
txn_2022_02_06_071,2022-02-06,2-6,17,17,128.0,0.0,0.0,0.0,0.0,128.0,0.0,128.0,4.48,132.48,,,,,,,
txn_2022_02_06_072,2022-02-06,2-6,18,18,0.0,56.4,3.81,0.0,0.0,60.21,0.0,60.21,2.11,62.32,,,,,,,
txn_2022_02_06_073,2022-02-06,2-6,19,19,0.0,87.25,5.89,0.0,0.0,93.14,12.0,105.14,3.26,108.4,,,,,,,
txn_2022_02_06_074,2022-02-06,2-6,20,20,0.0,63.25,4.27,0.0,0.0,67.52,0.0,67.52,2.36,69.88,,,,,,,
txn_2022_02_08_075,2022-02-08,2-8,1,1,0.0,12.5,0.84,0.0,0.0,13.34,3.0,16.34,0.47,16.81,,,,,,,
txn_2022_02_08_076,2022-02-08,2-8,2,2,0.0,13.5,0.91,0.0,0.0,14.41,3.0,17.41,0.5,17.91,,,,,,,
txn_2022_02_08_077,2022-02-08,2-8,3,3,0.0,12.5,0.84,0.0,0.0,13.34,5.0,18.34,0.47,18.81,,,,,,,
txn_2022_02_08_078,2022-02-08,2-8,4,4,0.0,58.7,3.96,0.0,0.0,62.660000000000004,7.0,69.66,2.19,71.85,,,,,,,
txn_2022_02_08_079,2022-02-08,2-8,5,5,0.0,67.45,4.55,0.0,0.0,72.0,0.0,72.0,2.52,74.52,,,,,,,
txn_2022_02_08_080,2022-02-08,2-8,6,6,31.0,0.0,0.0,0.0,0.0,31.0,2.0,33.0,1.09,34.09,,,,,,,
txn_2022_02_08_081,2022-02-08,2-8,7,7,50.75,0.0,0.0,0.0,0.0,50.75,0.0,50.75,1.78,52.53,,,,,,,
txn_2022_02_08_082,2022-02-08,2-8,8,8,49.5,0.0,0.0,0.0,0.0,49.5,0.0,49.5,1.73,51.23,,,,,,,
txn_2022_02_08_083,2022-02-08,2-8,9,9,0.0,142.15,9.6,28.43,0.0,180.18,0.0,180.18,6.31,186.49,,,,,,,
txn_2022_02_08_084,2022-02-08,2-8,10,10,0.0,104.95,7.08,0.0,0.0,112.03,10.0,122.03,3.92,125.95,,,,,,,
txn_2022_02_08_085,2022-02-08,2-8,11,11,0.0,66.4,4.48,0.0,0.0,70.88000000000001,15.0,85.88000000000001,2.48,88.36000000000001,,,,,,,
txn_2022_02_09_086,2022-02-09,2-9,1,1,17.0,0.0,0.0,0.0,0.0,17.0,0.0,17.0,0.6,17.6,,,,,,,
txn_2022_02_09_087,2022-02-09,2-9,2,2,0.0,51.95,3.51,0.0,0.0,55.46,12.0,67.46000000000001,1.94,69.4,,,,,,,
txn_2022_02_09_088,2022-02-09,2-9,3,3,0.0,42.95,2.9,0.0,-20.0,25.85,0.0,25.85,0.9,26.75,,,,,,,
txn_2022_02_09_089,2022-02-09,2-9,4,4,13.5,0.0,0.0,0.0,0.0,13.5,2.0,15.5,0.47,15.97,,,,,,,
txn_2022_02_09_090,2022-02-09,2-9,5,5,0.0,31.0,2.09,0.0,0.0,33.09,0.0,33.09,1.16,34.25,,,,,,,
txn_2022_02_09_091,2022-02-09,2-9,6,6,7.0,0.0,0.0,0.0,0.0,7.0,0.0,7.0,0.25,7.25,,,,,,,
txn_2022_02_09_092,2022-02-09,2-9,7,7,30.96,0.0,0.0,0.0,0.0,30.96,0.0,30.96,1.08,32.04,,,,,,,
txn_2022_02_09_093,2022-02-09,2-9,8,8,64.0,0.0,0.0,0.0,0.0,64.0,0.0,64.0,2.24,66.24,,,,,,,
txn_2022_02_09_094,2022-02-09,2-9,9,9,23.5,0.0,0.0,0.0,0.0,23.5,0.0,23.5,0.82,24.32,,,,,,,
txn_2022_02_09_095,2022-02-09,2-9,10,10,0.0,70.15,4.74,0.0,0.0,74.89,8.0,82.89,2.62,85.51,,,,,,,
txn_2022_02_09_096,2022-02-09,2-9,11,11,0.0,62.0,4.19,0.0,0.0,66.19,5.0,71.19,2.32,73.50999999999999,,,,,,,
txn_2022_02_10_097,2022-02-10,2-10,1,1,0.0,127.5,8.61,0.0,-10.0,126.11000000000001,0.0,126.11000000000001,4.41,130.52,,,,,,,
txn_2022_02_10_098,2022-02-10,2-10,2,2,0.0,37.9,2.56,0.0,0.0,40.46,8.0,48.46,1.42,49.88,,,,,,,
txn_2022_02_10_099,2022-02-10,2-10,3,3,0.0,69.5,4.69,0.0,0.0,74.19,0.0,74.19,2.6,76.78999999999999,,,,,,,
txn_2022_02_10_100,2022-02-10,2-10,4,4,0.0,48.4,3.27,0.0,0.0,51.67,0.0,51.67,1.81,53.480000000000004,,,,,,,
txn_2022_02_10_101,2022-02-10,2-10,5,5,0.0,87.35,5.9,0.0,0.0,93.25,0.0,93.25,3.26,96.51,,,,,,,
txn_2022_02_10_102,2022-02-10,2-10,6,6,26.0,0.0,0.0,0.0,0.0,26.0,6.0,32.0,0.91,32.91,,,,,,,
txn_2022_02_10_103,2022-02-10,2-10,7,7,36.0,0.0,0.0,0.0,0.0,36.0,0.0,36.0,1.26,37.26,,,,,,,
txn_2022_02_10_104,2022-02-10,2-10,8,8,23.0,0.0,0.0,0.0,0.0,23.0,0.0,23.0,0.81,23.81,,,,,,,
txn_2022_02_10_105,2022-02-10,2-10,9,9,75.0,0.0,0.0,0.0,0.0,75.0,5.0,80.0,2.63,82.63,,,,,,,
txn_2022_02_10_106,2022-02-10,2-10,10,10,69.5,0.0,0.0,0.0,0.0,69.5,0.0,69.5,2.43,71.93,,,,,,,
txn_2022_02_10_107,2022-02-10,2-10,11,11,75.5,0.0,0.0,0.0,0.0,75.5,5.0,80.5,2.64,83.14,,,,,,,
txn_2022_02_10_108,2022-02-10,2-10,12,12,70.0,0.0,0.0,0.0,0.0,70.0,10.0,80.0,2.45,82.45,,,,,,,
txn_2022_02_10_109,2022-02-10,2-10,13,13,0.0,58.0,3.92,11.6,0.0,73.52,0.0,73.52,2.57,76.08999999999999,,,,,,,
txn_2022_02_10_110,2022-02-10,2-10,14,14,29.15,0.0,0.0,0.0,0.0,29.15,0.0,29.15,1.02,30.169999999999998,,,,,,,
txn_2022_02_10_111,2022-02-10,2-10,15,15,0.0,56.4,3.81,11.28,0.0,71.49,0.0,71.49,2.5,73.99,,,,,,,
txn_2022_02_10_112,2022-02-10,2-10,16,16,0.0,53.4,3.6,10.68,0.0,67.68,0.0,67.68,2.37,70.05000000000001,,,,,,,
txn_2022_02_11_113,2022-02-11,2-11,1,1,21.5,0.0,0.0,0.0,0.0,21.5,0.0,21.5,0.75,22.25,,,,,,,
txn_2022_02_11_114,2022-02-11,2-11,2,2,0.0,34.5,2.33,0.0,0.0,36.83,5.0,41.83,1.29,43.12,,,,,,,
txn_2022_02_11_115,2022-02-11,2-11,3,3,50.0,0.0,0.0,0.0,0.0,50.0,0.0,50.0,1.75,51.75,,,,,,,
txn_2022_02_11_116,2022-02-11,2-11,4,4,0.0,25.0,1.69,0.0,0.0,26.69,0.0,26.69,0.93,27.62,,,,,,,
txn_2022_02_11_117,2022-02-11,2-11,5,5,0.0,26.95,1.82,0.0,0.0,28.77,0.0,28.77,1.01,29.78,,,,,,,
txn_2022_02_11_118,2022-02-11,2-11,6,6,0.0,40.2,2.71,0.0,0.0,42.910000000000004,8.0,50.910000000000004,1.5,52.410000000000004,,,,,,,
txn_2022_02_11_119,2022-02-11,2-11,7,7,0.0,16.0,1.08,0.0,0.0,17.08,0.0,17.08,0.6,17.68,,,,,,,
txn_2022_02_11_120,2022-02-11,2-11,8,8,0.0,18.95,1.28,0.0,0.0,20.23,5.0,25.23,0.71,25.94,,,,,,,
txn_2022_02_11_121,2022-02-11,2-11,9,9,0.0,20.95,1.41,0.0,0.0,22.36,7.0,29.36,0.78,30.14,,,,,,,
txn_2022_02_11_122,2022-02-11,2-11,10,10,0.0,16.0,1.08,0.0,0.0,17.08,5.0,22.08,0.6,22.68,,,,,,,
txn_2022_02_11_123,2022-02-11,2-11,11,11,0.0,72.95,4.92,14.59,0.0,92.46000000000001,0.0,92.46000000000001,3.24,95.7,,,,,,,
txn_2022_02_11_124,2022-02-11,2-11,12,12,0.0,28.45,1.92,5.69,0.0,36.059999999999995,0.0,36.059999999999995,1.26,37.31999999999999,,,,,,,
txn_2022_02_11_125,2022-02-11,2-11,13,13,0.0,27.95,1.89,5.0,0.0,34.84,0.0,34.84,1.22,36.06,,,,,,,
txn_2022_02_11_126,2022-02-11,2-11,14,14,0.0,76.35,5.15,0.0,0.0,81.5,16.0,97.5,2.85,100.35,,,,,,,
txn_2022_02_11_127,2022-02-11,2-11,15,15,0.0,73.25,4.94,0.0,0.0,78.19,16.0,94.19,2.74,96.92999999999999,,,,,,,
txn_2022_02_11_128,2022-02-11,2-11,16,16,0.0,60.9,4.11,0.0,0.0,65.01,14.0,79.01,2.28,81.29,,,,,,,
txn_2022_02_11_129,2022-02-11,2-11,17,17,0.0,100.45,6.78,0.0,0.0,107.23,0.0,107.23,3.75,110.98,,,,,,,
txn_2022_02_11_130,2022-02-11,2-11,18,18,66.0,0.0,0.0,0.0,0.0,66.0,12.0,78.0,2.31,80.31,,,,,,,
txn_2022_02_11_131,2022-02-11,2-11,19,19,0.0,112.6,7.6,0.0,0.0,120.19999999999999,24.0,144.2,4.21,148.41,,,,,,,
txn_2022_02_11_132,2022-02-11,2-11,20,20,0.0,72.0,4.86,0.0,0.0,76.86,20.0,96.86,2.69,99.55,,,,,,,
txn_2022_02_12_133,2022-02-12,2-12,1,1,33.0,0.0,0.0,0.0,0.0,33.0,4.0,37.0,1.16,38.16,,,,,,,
txn_2022_02_12_134,2022-02-12,2-12,2,2,0.0,44.0,2.97,8.8,0.0,55.769999999999996,0.0,55.769999999999996,1.95,57.72,,,,,,,
txn_2022_02_12_135,2022-02-12,2-12,3,3,0.0,65.5,4.42,13.6,0.0,83.52,10.0,93.52,2.92,96.44,,,,,,,
txn_2022_02_12_136,2022-02-12,2-12,4,4,0.0,12.5,0.84,2.5,0.0,15.84,5.0,20.84,0.55,21.39,,,,,,,
